X,Y,Id,gridcode,Shape_Length,Shape_Area
-76.2884889994892,36.718962907297,2260,24172,0.00695296029959991,9.12199283272639e-07
-76.0215276633545,36.718653488524,2261,24270,0.00878552347808181,7.24094494755731e-07
-76.0218510568569,36.7179657773318,2262,24270,0.000215595668123569,2.17881994282726e-09
-76.3025431417666,36.7182757222727,2263,24378,0.00485090253448561,6.28226417228438e-07
-76.3188206150574,36.718854609463,2264,24171,0.0065217689631254,7.70575986915336e-07
-76.2938115175475,36.7178305300391,2265,24379,0.00883942239624957,1.84400794599855e-06
-76.2431061113354,36.7168339000737,2266,24539,0.000107797834175472,7.26273315807653e-10
-76.2477953171186,36.7168069506152,2267,24722,0.000107797834061785,7.26273314275754e-10
-76.2960483229476,36.7183026717312,2268,24167,0.0227992419124803,3.29001811566676e-06
-76.3332655248261,36.7171837430346,2269,24547,0.00662956679707349,8.11973565871947e-07
-76.2427692431039,36.7166722033226,2270,24709,0.00226375451563854,7.91637913096737e-08
-76.2473371759811,36.7164701085516,2271,24722,0.000431191336360826,5.08391319839838e-09
-76.2440358676546,36.7170494957419,2272,24539,0.0150916967713783,5.87555111587635e-07
-76.2479839633282,36.7161871130691,2273,24722,0.000107797834061785,7.26273314275754e-10
-76.3233211749736,36.7162275634248,2274,24614,0.000862382673062712,1.67042862436613e-08
-76.2431465355232,36.7161461888813,2275,24709,0.00053898917042261,7.98900646928849e-09
-76.2431061113354,36.7160523657765,2276,24709,0.000107797834061785,7.26273314275754e-10
-76.2477818423893,36.7164027087373,2277,24722,0.00598277979304385,3.68946843894123e-07
-76.2475258225333,36.7159036437547,2278,24722,0.00032339350195798,3.63136656218737e-09
-76.3010609218905,36.7161741383398,2279,24839,0.00452750903207289,5.16380326814653e-07
-76.243011787888,36.7159311193811,2280,24709,0.0015091696767513,2.54195660165023e-08
-76.3236715175917,36.7165644054885,2281,24614,0.0090550180639184,3.39169638028732e-07
-76.318847564516,36.716079815235,2282,24775,0.005659386289949,9.12925556632872e-07
-76.3228765085652,36.7158367701083,2283,24614,0.00242545126661753,4.28501255560566e-08
-76.3225665894497,36.7155268251673,2284,24614,0.000215595668123569,2.17881994282726e-09
-76.2554489633393,36.7163757592787,2285,24638,0.00916281589752543,1.3399742656185e-06
-76.322499216146,36.7154599776889,2286,24614,0.00037729241944362,5.08391319993028e-09
-76.2425940716235,36.7157963720885,2287,24709,0.00803093863908089,5.12022686884574e-07
-76.2311136022925,36.7147318423089,2288,24985,0.000107797834175472,7.26273315807653e-10
-76.2864543153706,36.7150951599989,2289,24957,0.00458140794899009,8.18510025677451e-07
-76.2904158857736,36.7163762592787,2290,24548,0.0232843321653036,4.33149404895402e-06
-76.2335929524766,36.7143006509725,2291,24985,0.000107797834289158,7.26273317339553e-10
-76.302273647524,36.7149209885185,2292,24979,0.00431191336315351,5.98449211318622e-07
-76.2332695589744,36.7144214235359,2293,24985,0.0047431047006512,1.81568328651661e-07
-76.2323128531968,36.7146779433917,2294,24985,0.0159001805299113,7.38619960918694e-07
-76.2964121402951,36.7133030210071,2295,25312,0.00490480145128913,7.64765800372024e-07
-76.2816034128364,36.7129806275047,2296,25346,0.00582108304058693,7.6186070709807e-07
-76.3153845590957,36.7144219235358,2297,24726,0.0117499639167136,1.57020290638485e-06
-76.2299817250345,36.7122255426661,2298,25456,0.005659386289949,1.41550669030165e-06
-76.300575831637,36.7121581951878,2299,25448,0.00474310469996908,9.43429035784965e-07
-76.3285493695845,36.7120368964564,2300,25426,0.00964790615125821,2.59279573347949e-06
-76.2756880070331,36.7112688630565,2301,25619,0.00485090253471299,4.08891876180821e-07
-76.2964795139414,36.7111201148666,2302,25607,0.0042041155293191,4.866031208022e-07
-76.2986219962367,36.7105681771349,2303,25691,0.00544379062159805,7.99626919494026e-07
